Production_test,Production_predicted
19871,19945.14415679355
36406,36006.09349802006
4571,4663.80922047955
26456,26309.658833715
61286,24391.18396025676
26456,26149.98169674099
32260,23985.9156696685
51461,51575.530666930346
26456,24391.18396025676
9238,8765.093279283217
0,27372.708498037897
28540,26309.658833715
59219,58661.7683531646
27438,20889.983539102406
42696,42266.805348039146
0,18.63339508371955
7049,22623.162660985432
59011,58617.700279106015
5285,5320.647781374191
59115,59077.194860263706
4397,4313.704297832029
53322,53657.07162701198
46670,27253.645860848654
2763,15601.451019119706
39779,35098.81933416293
14,1033.7257145721726
5364,5509.06933024622
41525,30989.35983130993
26456,26353.22216295211
36077,36193.556176636615
32165,15916.255179444586
20803,24391.18396025676
26456,24391.18396025676
15897,27340.11015128449
37973,38131.76463818546
15995,16545.685377395443
15446,19022.55042751444
41896,41946.25888252832
12331,12548.131797648732
13235,13371.363570257508
41590,41581.43688389344
38765,38966.666111589395
32985,26940.89359676981
25675,25761.887915954212
17430,18119.708853979726
5780,5840.887598640644
26456,26393.472751886267
18683,27340.11015128449
4559,26309.658833715
23732,27427.26801076666
30143,27340.11015128449
11809,27340.11015128449
52568,35106.320762524745
48359,48322.30272398942
14397,14001.252750449486
21326,22443.28210106949
8350,26309.658833715
47104,46953.35145155326
6559,24391.18396025676
16560,20334.845516637837
55560,55515.12302965582
41390,42121.69273452769
56224,56618.59654527757
26551,24428.22172012338
35970,36033.71906346599
2247,10042.040424860783
26456,27340.11015128449
54356,26869.539737653733
46357,46483.62860838154
54943,54576.883266530334
50783,50792.03904491497
13930,15030.28043589432
22515,27372.708498037897
8291,8561.968214099
50854,50559.35256379816
33352,26927.638395047965
20306,15916.255179444586
56482,56442.5592143226
6964,11065.186021307738
7422,15036.184883160435
14689,27340.11015128449
0,20.128262867215057
16642,27785.824646703233
26456,24391.18396025676
26456,15601.451019119706
26456,26353.22216295211
26456,26393.472751886267
50777,50404.655009688635
26456,24235.52124460467
8130,7655.039491366142
26456,26805.81889063526
12611,14182.635693951399
32267,12302.785321036534
33732,32882.4202370106
38857,38722.03523685534
20874,21805.850219139396
42796,42960.41344365173
38403,38487.05357728856
25109,24862.712216766402
26456,16564.267304830915
1302,1264.3297091223537
41726,41187.21969322326
48089,47806.389576545276
26456,24235.52124460467
18957,27340.11015128449
8659,26940.89359676981
42865,42614.34936975731
62078,26792.04028830892
18197,20676.63514199669
6,19.168292004844744
29419,15601.451019119706
44570,44710.67660194842
13776,35106.320762524745
1369,10075.873001599834
17310,18034.21071563213
26456,26483.307129694018
22857,18220.59651355383
15246,14552.202345636862
20190,20079.268718413547
26456,26450.708782940615
11461,16768.682373362855
57332,57027.91745634091
26456,24105.04633159196
26456,24391.18396025676
56926,56579.02931266787
1156,1297.115921256195
6182,24391.18396025676
60241,29515.277799108153
57,277.1101435365577
42976,46358.006009937686
53187,53625.92049987773
20005,22263.703870356952
43960,43791.78797406557
26456,27302.401808151466
17534,9797.045790597484
54845,27427.26801076666
0,300.9633948021552
48287,48414.13086917852
15137,15230.219253456671
14021,13798.93288952906
19420,21256.07642597569
20275,20544.53028589684
30269,31514.44474234111
18511,18486.710045764965
8387,13186.24275768733
21676,22054.26247234093
4164,4432.884136703925
39629,30289.688180186276
11360,10914.111393336587
5389,26309.658833715
61152,61137.268819263714
0,264.93597243651806
56487,56238.48201549844
55896,55761.470506075326
52497,42092.40293541503
5011,5193.3538249478415
45147,43440.99557139584
20468,24391.18396025676
9891,12586.828118681186
29626,23037.5057376332
41643,27340.11015128449
26456,27427.26801076666
36055,26487.911101249534
39347,39729.879102118655
26456,26149.98169674099
19558,27340.11015128449
32621,26342.2571804684
26456,20889.983539102406
11539,11363.833958445619
62125,62085.87018815884
